Przedział PKB,Srednia sumy liczby samobójstw dla przedziału,Srednia liczby samobójstw per100kpop dla przedziału
0-12000,2329.8732510288064 ,157.19311111111082 
12000-24000,2665.8120481927713 ,167.52971084337358 
24000-36000,3944.0284697508896 ,164.94772241992877 
36000-48000,7604.0496453900705 ,161.09680851063828 
48000-60000,5242.796116504855 ,165.15271844660194 
60000-72000,2024.5 ,126.50088235294119 
72000-84000,804.7857142857143 ,143.35785714285717 
84000-96000,471.3125 ,111.75625 
96000-108000,428.75 ,135.0375 
108000-12000,216.66666666666666 ,138.19833333333335 
>120000,51.25 ,122.05000000000001 
