,year,max,mean,count
0,'85,144.65,11.82619791666666,576
1,'86,123.72,11.42333333333334,576
2,'87,131.87,11.644212962962962,648
3,'88,138.89,12.709404761904763,588
4,'89,122.41,12.879070512820508,624
5,'90,150.0,12.862955729166657,768
6,'91,176.91,13.43888020833334,768
7,'92,177.61,13.4985641025641,780
8,'93,177.57,13.833705128205125,780
9,'94,176.26,14.073272058823521,816
10,'95,224.97,15.662670940170933,936
11,'96,151.33,15.30542207792209,924
12,'97,161.92,14.954361471861478,924
13,'98,125.78,14.926919831223628,948
14,'99,162.67,14.532038152610431,996
15,'00,144.15,13.941327519379856,1032
16,'01,144.71,13.519138257575756,1056
17,'02,157.48,13.786550387596899,1032
18,'03,170.86,13.205019379844952,1032
19,'04,172.8,12.481944444444458,1008
20,'05,176.33,12.068442460317463,1008
21,'06,204.92,11.927460784313727,1020
22,'07,172.86,12.025339147286813,1032
23,'08,154.92,11.9076862745098,1020
24,'09,173.86,11.400786516853936,1068
25,'10,182.32,11.215899621212126,1056
26,'11,185.37,11.01534883720932,1032
27,'12,187.06,11.421718106995883,972
28,'13,147.59,11.107958333333332,960
29,'14,124.45,11.011463675213673,936
30,'15,140.74,11.09407258064516,744
